instrument_key,southbound_eligible,as_of_date,source_label
01109,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01112,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01113,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01114,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01117,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01128,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01138,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01157,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01164,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01171,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01177,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01186,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01187,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01193,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01196,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01199,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01208,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01209,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01211,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01258,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01276,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01277,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01288,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01299,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01302,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01304,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01308,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01310,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01313,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01316,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01318,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01330,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01333,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
